dataset,Code_chain_over_2E,ICDE_best_hvi_over_origin_csr,ICDE_best_method,VLDB_laconic_over_origin,VLDB_source,best_by_min_ratio,best_ratio,Code_status,ICDE_status,VLDB_status,ICDE_notes
web-BerkStan,0.962795,1.124956,Greedy,0.940356,npy_bytes,VLDB,0.940356,OK,ok,ok,
web-BerkStan-dir,NA,NA,,NA,,,NA,missing,missing,missing,
web-EPA,0.754490,1.058607,Greedy,0.965868,npy_bytes,Code,0.754490,OK,ok,ok,
web-NotreDame,0.498533,0.758176,Greedy,0.588531,npy_bytes,Code,0.498533,OK,ok,ok,
web-Stanford,0.378832,0.972905,Greedy,0.555164,npy_bytes,Code,0.378832,OK,ok,ok,
web-arabic-2005,0.548921,0.298189,Greedy,0.290762,npy_bytes,VLDB,0.290762,OK,ok,ok,
web-baidu-baike,0.526451,1.037391,Greedy,0.879003,npy_bytes,Code,0.526451,OK,ok,ok,
web-baidu-baike-related,0.491350,0.902566,Greedy,0.594523,npy_bytes,Code,0.491350,OK,ok,ok,
web-edu,0.903846,0.960263,Greedy,0.907132,npy_bytes,Code,0.903846,OK,ok,ok,
web-frwikinews-user-edits,0.272485,0.988430,Greedy,0.880819,npy_bytes,Code,0.272485,OK,ok,ok,
web-google,0.796069,1.133947,Greedy,0.843268,npy_bytes,Code,0.796069,OK,ok,ok,
web-google-dir,NA,NA,,NA,,,NA,missing,missing,missing,
web-hudong,0.543797,1.039288,Greedy,0.839842,npy_bytes,Code,0.543797,OK,ok,ok,
web-indochina-2004,0.696782,0.724428,Greedy,0.635217,npy_bytes,VLDB,0.635217,OK,ok,ok,
web-indochina-2004-all,0.256740,0.602892,Greedy,0.164973,npy_bytes,VLDB,0.164973,OK,ok,ok,
web-it-2004,0.468185,0.328821,Greedy,0.249116,npy_bytes,VLDB,0.249116,OK,ok,ok,
web-it-2004-all,0.261738,0.756700,Greedy,0.170537,npy_bytes,VLDB,0.170537,OK,ok,ok,
web-italycnr-2000,0.358225,0.598439,Greedy,0.377686,npy_bytes,Code,0.358225,OK,ok,ok,
web-polblogs,0.780263,1.085127,Greedy,0.939649,npy_bytes,Code,0.780263,OK,ok,ok,
web-sk-2005,0.794210,0.901397,Greedy,0.775539,npy_bytes,VLDB,0.775539,OK,ok,ok,
web-sk-2005-all,0.271331,0.854644,Greedy,0.152439,npy_bytes,VLDB,0.152439,OK,ok,ok,
web-spam,0.661726,1.027742,MWPM,0.898140,npy_bytes,Code,0.661726,OK,ok,ok,
web-uk-2002-all,0.319497,0.773264,Greedy,0.251576,npy_bytes,VLDB,0.251576,OK,ok,ok,
web-uk-2005,0.481404,0.040274,Greedy,0.048315,npy_bytes,ICDE,0.040274,OK,ok,ok,
web-webbase-2001,0.870316,1.029919,Greedy,0.894829,npy_bytes,Code,0.870316,OK,ok,ok,
web-wiki-ch-internal,0.553024,1.015156,Greedy,0.880765,npy_bytes,Code,0.553024,OK,ok,ok,
web-wiki-chameleon,0.437993,NA,NA,0.274765,npy_bytes,VLDB,0.274765,OK,prepare-failed,ok,prepare_dataset failed
web-wiki-crocodile,0.457199,NA,NA,0.239754,npy_bytes,VLDB,0.239754,OK,prepare-failed,ok,prepare_dataset failed
web-wiki-squirrel,0.509029,NA,NA,0.158969,npy_bytes,VLDB,0.158969,OK,prepare-failed,ok,prepare_dataset failed
web-wikipedia-growth,0.459976,0.986688,Greedy,0.814176,npy_bytes,Code,0.459976,OK,ok,ok,
web-wikipedia2009,0.751302,1.144549,Greedy,0.970800,npy_bytes,Code,0.751302,OK,ok,ok,
web-wikipedia_link_de,NA,NA,,NA,,,NA,missing,missing,missing,
web-wikipedia_link_fr,NA,NA,,NA,,,NA,missing,missing,missing,
web-wikipedia_link_it,NA,NA,,NA,,,NA,missing,missing,missing,
